improved	улучшенный
command	команда
line	линия
learn	учить
exploring	исследование
programming	программирование
observation	наблюдение
sweet	милая
spot	место
learning	учусь
wisdom	мудрость
found	найденный
wild	дикий
weird	странный
behavior	поведение
performance	спектакль
benchmarks	тесты
relative	родственник
locating	установочная
bottlenecks	узкие
ii	б
programmers	программисты
functions	функции
function	функция
declaration	декларация
expression	выражение
constructor	конструктор
calling	призвание
arguments	аргументы
object	объект
formal	формальный
parameters	параметры
scope	объем
execution	выполнение
context	контекст
contexts	контексты
variable	переменная
activation	активация
global	Глобальный
chain	цепь
